household_id,person_id,age,gender,relationship
1,1,67,Female,Head
1,2,45,Male,Child
2,1,69,Female,Head
2,2,25,Male,Child
3,1,68,Female,Head
3,2,40,Male,Child
4,1,68,Female,Head
4,2,35,Male,Child
5,1,68,Female,Head
5,2,72,Male,Housemate
6,1,70,Female,Head
6,2,30,Male,Child
7,1,67,Female,Head
8,1,67,Female,Head
9,1,68,Female,Head
10,1,68,Female,Head
10,2,42,Male,Child
11,1,70,Female,Head
11,2,45,Male,Child
11,3,12,Female,Grandchild
12,1,68,Female,Head
12,2,10,Male,Child
13,1,35,Male,Head
13,2,8,Female,Child
14,1,28,Female,Head
14,2,3,Male,Child
14,3,1,Female,Child
15,1,25,Female,Head
15,2,3,Male,Child
16,1,30,Male,Head
16,2,28,Female,Spouse
16,3,5,Male,Child
17,1,30,Female,Head
17,2,5,Male,Child
17,3,3,Female,Child
18,1,35,Female,Head
18,2,8,Male,Child
19,1,32,Female,Head
19,2,8,Male,Child
20,1,34,Male,Head
20,2,8,Female,Child
20,3,6,Female,Child
21,1,68,Female,Head
21,2,22,Male,Child
22,1,67,Female,Head
23,1,68,Female,Head
23,2,30,Male,Child
24,1,75,Female,Head
24,2,48,Male,Child
25,1,68,Female,Head
25,2,25,Male,Child
26,1,68,Female,Head
26,2,70,Male,Partner
27,1,68,Female,Head
27,2,30,Male,Child
28,1,68,Female,Head
28,2,30,Male,Child
29,1,70,Female,Head
29,2,45,Male,Child
30,1,68,Female,Head
30,2,38,Male,Child
