age,gender,relationship,household_id
35,Female,Head,0
10,Male,Child,0
8,Female,Child,0
35,Female,Head,1
10,Male,Child,1
32,Female,Head,2
6,Male,Child,2
4,Female,Child,2
34,Female,Head,3
8,Male,Child,3
34,Female,Head,4
8,Male,Child,4
5,Female,Child,4
35,Female,Head,5
10,Male,Child,5
34,Female,Head,6
7,Male,Child,6
34,Female,Head,7
10,Male,Child,7
7,Female,Child,7
34,Female,Head,8
10,Male,Child,8
8,Female,Child,8
36,Female,Head,9
10,Male,Child,9
8,Female,Child,9
68,Female,Head,10
25,Male,Child,10
28,Male,Head,11
26,Female,Partner,11
70,Female,Head,12
45,Male,Child,12
68,Female,Head,13
30,Male,Child,13
67,Female,Head,14
30,Male,Child,14
68,Female,Head,15
70,Male,Housemate,15
28,Male,Head,16
25,Female,Partner,16
28,Female,Head,17
3,Male,Child,17
25,Male,Head,18
23,Female,Partner,18
28,Male,Head,19
25,Female,Housemate,19
68,Female,Head,20
35,Male,Child,20
68,Female,Head,21
30,Male,Child,21
67,Female,Head,22
70,Female,Head,23
40,Male,Child,23
67,Female,Head,24
32,Male,Child,24
67,Female,Head,25
67,Female,Head,26
67,Female,Head,27
40,Male,Child,27
67,Female,Head,28
30,Male,Child,28
68,Female,Head,29
71,Male,Child,29
