statistic,category,observed_percentage,sample_size
ukhouseholdsizeclassifier_uk_census,1,10.0,63
ukhouseholdsizeclassifier_uk_census,2,70.0,63
ukhouseholdsizeclassifier_uk_census,3,20.0,63
ukhouseholdsizeclassifier_uk_census,4,0.0,63
ukhouseholdsizeclassifier_uk_census,5,0.0,63
ukhouseholdsizeclassifier_uk_census,6,0.0,63
ukhouseholdsizeclassifier_uk_census,7,0.0,63
ukhouseholdsizeclassifier_uk_census,8,0.0,63
ukhouseholdcompositionclassifier_uk_census,Lone parent,73.33333333333333,63
ukhouseholdcompositionclassifier_uk_census,Couple,10.0,63
ukhouseholdcompositionclassifier_uk_census,One-person aged 66+ years,10.0,63
ukhouseholdcompositionclassifier_uk_census,Other,6.666666666666667,63
ukageclassifier_uk_census,30-39,25.4,63
ukageclassifier_uk_census,60-69,20.63,63
ukageclassifier_uk_census,0–9,17.46,63
ukageclassifier_uk_census,20-29,15.87,63
ukageclassifier_uk_census,10-19,9.52,63
ukageclassifier_uk_census,70-79,6.35,63
ukageclassifier_uk_census,40-49,4.76,63
ukageclassifier_uk_census,50-59,0.0,63
ukageclassifier_uk_census,80+,0.0,63
uksexclassifier_uk_census,Female,57.14,63
uksexclassifier_uk_census,Male,42.86,63
